Artists,Name,Rank,Date,Genre,Writing Credits,Lyrics,Songwriter
"A Boogie Wit da Hoodie, Kodak Black",Drowning,81,10-Mar-17," New York , Florida ,  Everywhere , Rap  ","Ray Nelson, Jahaan Sweet, A Boogie Wit Da Hoodie & Kodak Black","Drowning
I'm drownin'
I'm drownin'
I'm drownin'
I'm drownin'
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I'm with all my niggas, I don't go nowhere without 'em
If they don't let us in they might throw shots at the bouncer
Actavis medicine, got it straight from out the doctor's
I'm with RJ but I call him Wayne 'cause he's a shotta
Pick up the ladder, put it in the gun, make the 9 stretch
Niggas with attitude, but we come straight out of Highbridge
I'm gon' make her panties wet when she see the way I flex
I'm gon' win a Grammy, move my family out the projects
We went from chillin' in the projects to makin' projects
We was tryna get to the top, and they tried to stop us
I talk for myself, bitch I don't need no fucking voucher
She looked at my wrist and she looked at a hundred thousand
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
Just bought a brand new chain from Avianne
Nigga with attitude but I ain't from Compton
Lil Kodak, bitch, I'm Polo'd down like Carlton
Sniper Gang I put a nigga on a carton
I'm the shit I'm fartin', I don't know how to potty
Pull up in a 'Rari, I'm in the Yo like Gotti
A Boogie, I'm goin Scottie, nigga drop my deposit
I ain't Jamaican, bitch I'm Haitian, but I got them shottas
Harley Davidson every day, I'm ridin' with the chopper
They hatin', I know they don't wanna see a nigga prosper
I ain't doing trims, I'm in the cut like I'm a barber
She call me daddy, but I ain't her motherfucking father
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
Bitch, I'm drownin'
Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",False
"Hailee Steinfeld, Grey, Zedd",Starving,82,15-Jul-16," Dance , Electronic , Pop  ","Asia Whiteacre, Michael Trewartha, Kyle Trewartha, Christopher Petrosino & Robert Mccurdy","Starving
You know just what to say, things that scare me
I should just walk away, but I can't move my feet
The more that I know you, the more that I want to
Something inside me's changed
I was so much younger yesterday
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head on, got me weak in my knees
Yeah, something inside me's changed
I was so much younger yesterday
So much younger yesterday
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
You you, yeah till I tasted you
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
I didn't know till I tasted you
The more that I know you, the more that I want to
Something inside me's changed
I was so much younger yesterday
",True
"Gucci Mane, Drake",Both,83,15-Dec-16," Trap , OVO ,  Canada , Atlanta , Rap  ",Gucci Mane & Drake,"Both
Southside
If Young Metro don't trust you, I'm gon' shoot you
I got so many felonies, I might can't never go to Canada
But Drake said he gon' pull some strings, so let me check my calendar
I just popped me one of them one what-you-call-its and it boosted my stamina
Now I'm fucking her on the banister, guess I just East Atlanta'd her
I'm in an all-red drop tarantula, fuck a Challenger
Damn these hoes ain't got no manners, bruh, where's the manager?
I keep throwing rubber bandies up, hoe, pull your panties up
Cause you fuck like a granny fuck, you're just an amateur
This Patek Philipe gon' make this crooked judge try throw the book at me
I look like half a million worth of heroin when she look at me
But you ain't gotta fuck with me, my nig, but you're stuck with me
But how you called the cops on me, my nig? You grew up with me
I don't usually do this unless I'm drunk or I'm high
But I'm both right now, got me talking about my life
I don't usually do this unless I'm drunk or I'm high
But I'm both right now
I don't usually do this unless I'm drunk or I'm high
But I'm both right now and I need ya in my life
I don't usually do this unless I'm drunk or I'm high
But I'm both right now
Yeah, I'm both
Yeah, I had a drink, yeah, I smoked
Yeah, you think I need you but I don't
Just left out Dubai with all my folk
Open water, my location is remote
Shout-out Yachty but this ain't a Lil Boat
This some shit I wrote about when I was broke
See, the power of the mind is not a joke
Man, I said that I would do it and I did
Used to get left-overs out the fridge
Nobody was famous where I lived
Till I got it jumping at the crib
Took a lot to be able to give, I mean
I don't usually do this unless I'm drunk or I'm high
But I'm both right now, got me talking about my life
I don't usually do this unless I'm drunk or I'm high
But I'm both right now
I don't usually do this unless I'm drunk or I'm high
But I'm both right now and I need ya in my life
I don't usually do this unless I'm drunk or I'm high
But I'm both right now
Southside
",False
P!nk,What About Us,84,10-Aug-17," Electro-Pop , Pop  ","Steve Mac, P!nk & Johnny McDaid","What About Us?
La-da-da-da-da, la-da-da-da-da
Da-da-da
We are searchlights, we can see in the dark
We are rockets, pointed up at the stars
We are billions of beautiful hearts
And you sold us down the river too far
What about us?
What about all the times you said you had the answers?
What about us?
What about all the broken happy ever afters?
What about us?
What about all the plans that ended in disaster?
What about love? What about trust?
What about us?
We are problems that want to be solved
We are children that need to be loved
We were willin', we came when you called
But man, you fooled us, enough is enough, oh
What about us?
What about all the times you said you had the answers?
What about us?
What about all the broken happy ever afters?
Oh, what about us?
What about all the plans that ended in disaster?
Oh, what about love? What about trust?
What about us?
Oh, what about us?
What about all the plans that ended in disaster?
What about love? What about trust?
What about us?
Sticks and stones, they may break these bones
But then I'll be ready, are you ready?
It's the start of us, waking up come on
Are you ready? I'll be ready
I don't want control, I want to let go
Are you ready? I'll be ready
'Cause now it's time to let them know
We are ready, what about us?
What about us?
What about all the times you said you had the answers?
So what about us?
What about all the broken happy ever afters?
Oh, what about us?
What about all the plans that ended in disaster?
Oh, what about love? What about trust?
What about us?
What about us?
What about us?
What about us?
What about us?
What about us?
What about us?
",True
"Jason Derulo, Nicki Minaj, Ty Dolla $ign",Swalla,85,24-Feb-17," Dance , Rap  , Pop  ","Jason Derulo, Nicki Minaj, Ty Dolla $ign, Eric Frederic, LunchMoney Lewis, Jacob Kasher, RZA & Ol' Dirty Bastard","Swalla
Drank
Young Money
Love in a thousand different flavors
I wish that I could taste them all tonight
No, I ain't got no dinner plans
So you should bring all your friends
I swear that a-all y'all my type
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin', ooh
Shimmy shimmy yay, shimmy yay, shimmy ya drank
Swalla-la-la drank
Swalla-la-la swalla-la-la
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya drank
Swalla-la-la drank
Swalla-la-la swalla-la-la
Swalla-la-la
Freaky, freaky gyal
My freaky, freaky gyal
Shimmy shimmy shimmy yay, shimmy yah
Bad girls gon' swalla-la-la
Bust down on my wrist in this bitch
My pinky-ring bigger than his
Met her out in Beverly Hills, ay
Dolla got too many girls, ay
Met her out in Beverly Hills
All she wear is red bottom heels
When she back it up, put it on the Snap
When she droppin' low, put it on the Gram
DJ poppin', she gon' swallow that
Champagne poppin', she gon' swallow that
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin', ooh
Shimmy shimmy yay, shimmy yay, shimmy ya drank
Swalla-la-la drank
Swalla-la-la swalla-la-la
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya drank
Swalla-la-la drank
Swalla-la-la swalla-la-la
Swalla-la-la
Freaky, freaky gyal
My freaky, freaky gyal
Bad gyal no swalla nuttin, word to the Dalai Lama
He know I'm a fashion killa, word to John Galliano
He copping that Valentino, ain't no telling me ""no""
I'm that bitch, and he know, he know
How y'all wifing these thots? You don't get wins for that
I'm having another good year, we don't get blimps for that
Pussy game still cold, we don't get minks for that
When I'm poppin' them bananas, we don't link chimps for that
I gave these bitches two years, now your time's up
Bless her heart, she throwing shots but every line sucks
I'm in that cherry red foreign with the brown guts
My shit slappin' like dude did LeBron's nuts
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin'
Shimmy shimmy yay, shimmy yay, shimmy ya my love drank
Swalla-la-la my love drank
Swalla-la-la swalla-la-la
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya kyuh! drank
Swalla-la-la drank
Swalla-la-la swalla-la-la
Swalla-la-la
Young Money
Swalla-la-la
J.D
Freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Derulo
",False
"Migos, Gucci Mane",Slippery,86,27-Jan-17," Quality Control Music , Warner Bros. , Memes , Atlantic Records , 300 Entertainment , Atlanta , Rap  ","Deko, OG Parker, Gucci Mane, Offset, Takeoff & Quavo","Slippery
De-de-de-de-de-de-de-de-deko
OG Parker
Pop a perky just to start up pop it, pop it
Pop two cups of purple just to warm up two cups, drank
I heard your bitch, she got that water
Splash, drip, drip, woo, splash
Slippery, 'scuse me, please me please
Arm up, oh, believe me, believe me believe me
Get beat beat, 'cause I'm flexin' 'Rari's skrt
You can bet on me skr, skr, hey, hey, hey
Tater tot, fuck niggas on my radar watch watchin'
Crocodile hunter, turn 'em to some gator shots urr
Iced out watch ice ridin' round, ten o'clock ten
Ridin' round, geeked up, damn, think it's three o'clock three
Four o'clock four five o'clock, six o'clock five
I'm gon' pop, if I don't, I'm back to the pot whip
I got rocks rocks big bales, big arms
Tommy gun prr, come out and play, let's have fun yeah
Big scales scales fish scale, big weight fish
Iceberg ice ice tray, ice tray woo
Plug called called tried to front, I don't need it brrt
I don't need it brrt pockets strong, wrist anemic strong
Get freezy freezy young nigga pay your debt-is debt-is
Grandma grandma auntie Ab and auntie Neesa Neesa
Uncle Bo Bo, auntie Greta serve ya perkys Greta
Auntie Eva, if she got a pound, she might just serve it serve
Pop a perky just to start up pop it, pop it
Pop two cups of purple just to warm up two cups, drank
I heard your bitch, she got that water
Splash, drip, drip, woo, splash
Slippery, 'scuse me, please me please
I'm up, oh, believe me, believe me believe me
Get beat beat, 'cause I'm flexin' 'Rari's skrt
You can bet on me skr, skr, hey, hey, hey
Offset!
Slippery, she numbin' me, that tongue on me
Honestly honest she fuck with me, your wife to be wife
In Italy, bought her a fur, look like the wildebeest rarr
Just chill with me chill
It is no worry, it is a bill to me it ain't nothin'
I pull up Diablo, I pull up with models
I gave her her first Philippe Philippe
We goin' full throttle, she swallowed the bottle
I'm all in her ovaries eghhh
I gave her some dollars
I Gucci'd her collar, now she can't get over me hey
She want a dose of me dose
Just hop in the Ghost with me Ghost
Perky and molly, don't vote for nobody
These bitch ass niggas ain't solid solid
Run in your house and with pumps and the shotties
Your mama might be up inside it bah
Cars robotic, bad bitch with a body
But really don't care nothing about it uh-uh
Cappin' and poppin', I seen that lil' Masi
I coulda pulled up and just shot ya brrt
It's a jungle, I let 'em survive
Pop a perky just to start up pop it, pop it
Pop two cups of purple just to warm up two cups, drank
I heard your bitch, she got that water
Splash, drip, drip, woo, splash
Slippery, 'scuse me, please me please
I'm up, oh, believe me, believe me believe me
Get beat beat, 'cause I'm flexin' 'Rari's skrt
You can bet on me skr, skr, hey, hey, hey
I rock water, diamonds, I'm drippin' but not slippin'
I threw a quarter well damn
but nawl, I'm not trippin'
Bugatti on Forgis, and nawl, I'm not crippin'
I buy Ferraris like Jordans, I'm Mike and y'all Pippen
Chillin', just me and my millions
Niggas, they all in they feelin's
My bitches, I spoil them like they chillens
So persistent, if I want it, I go get it
I'm so slimy, grimy, shiesty but still shinin'
Rude and unkindly, cruel with no conscience
Drop the top on College, nigga, I aim with no-nonsense
And I'm a murderer, nigga, but I don't promote violence
Dead shot brrt AK make your head rock brrt
Red dot, retro Air Jord' deadstock -stock
Lean on rocks Act perkys, mollies, xannies, rocks roxies
Oxycontin oxyies Takeoff, I'm your med doc Takeoff!
Leg lock leg the key I got unlock the box box
What's in that box, huh? Don't tell 'em, they might show the cops shh
Wristwatch bite abnormal so I flood the clock ice
Money flop, panties drop, that's when them titties pop woo
Free my partners John Wick
'Til they free it's fuck the cops fuck 'em
They know I geek a lot
They don't know I keep a Glock clueless
Ain't been no drought where
They think I been sleep a lot
They think I'm dumb dumb
They don't know I see the plot see it
Fuck it I seize a knot
Pop a perky just to start up pop it, pop it
Pop two cups of purple just to warm up two cups, drank
I heard your bitch, she got that water
Splash, drip, drip, woo, splash
Slippery, 'scuse me, please me please
I'm up, oh, believe me, believe me believe me
Get beat, 'cause I'm flexin' 'Rari's skrt
You can bet on me skr, skr, hey, hey, hey
",False
Harry Styles,Sign Of The Times,87,7-Apr-17," Ballad , Piano , Alternative Pop , Pop-Rock ,  UK , Pop  ","Tyler Johnson, Alex Salibian, Ryan Nasci, Mitch Rowland, Jeff Bhasker & Harry Styles","Sign of the Times
Just stop your crying, it's a sign of the times
Welcome to the final show
Hope you're wearing your best clothes
You can't bribe the door on your way to the sky
You look pretty good down here
But you ain't really good
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
Just stop your crying, it's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying, it'll be alright
They told me that the end is near
We gotta get away from here
Just stop your crying, have the time of your life
Breaking through the atmosphere
And things are pretty good from here
Remember everything will be alright
We can meet again somewhere
Somewhere far away from here
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
Just stop your crying, it's a sign of the times
We gotta get away from here
We gotta get away from here
Stop your crying, baby, it'll be alright
They told me that the end is near
We gotta get away from here
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We don't talk enough, we should open up
Before it's all too much
Will we ever learn? We've been here before
It's just what we know
Stop your crying, baby, it's a sign of the times
We gotta get away, we got to get away
We got to get away, we got to get away
We got to get away
We got to, we got to, away
We got to, we got to, away
We got to, we got to, away
",False
Adele,Water Under The Bridge,88,4-Nov-16,"  UK , Pop  ",Greg Kurstin & Adele,"Water Under the Bridge
If you're not the one for me
Then how come I can bring you to your knees?
If you're not the one for me
Why do I hate the idea of being free?
And if I'm not the one for you
You've gotta stop holding me the way you do
Oh honey, if I’m not the one for you
Why have we been through what we have been through?
It's so cold out here in your wilderness
I want you to be my keeper
But not if you are so reckless
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
Say that our love ain't water under the bridge
What are you waiting for?
You never seem to make it through the door
And who are you hiding from?
It ain't no life to live like you're on the run
Have I ever asked for much?
The only thing that I want is your love
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
Say that our love ain't water under the bridge
It's so cold in your wilderness
I want you to be my keeper
But not if you are so reckless
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
If you're gonna let me down, let me down gently
Don't pretend that you don't want me
Our love ain't water under the bridge
Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
",True
Miley Cyrus,Malibu,89,11-May-17," Pop-Rock , Pop  ",Oren Yoel & Miley Cyrus,"Malibu
I never came to the beach or stood by the ocean
I never sat by the shore under the sun with my feet in the sand
But you brought me here, and I'm happy that you did
'Cause now I'm as free, as birds catchin' the wind
I always thought I would sink, so I never swam
I never went boatin', don't get how they are floatin'
And sometimes I get so scared of what I can't understand
But here I am, next to you
The sky's more blue in Malibu
Next to you in Malibu
Next to you
We watched the sun go down as we were walkin'
I'd spent the rest of my life just standing here talkin'
You would explain the current, as I just smile
Hoping that you'll stay the same and nothing will change
And it'll be us, just for a while
Do they even exist?
That's when I make the wish, to swim away with the fish
Cause it's supposed to be this hot all summer long
I never would've believed you if three years ago you told me
I'd be here writing this song
But here I am, next to you
The sky's so blue in Malibu
Next to you in Malibu
Next to you
Next to you
The sky's so blue in Malibu
Next to you
We are just like the waves that flow back and forth
Sometimes I feel like I'm drowning
And you're there to save me
And I wanna thank you with all of my heart
It's a brand new start
A dream come true in Malibu
",False
Marian Hill,Down,90,4-Mar-16," Electronic , Electro-Pop , Pop  ",Jeremy Lloyd & Samantha Gongol,"Down
Didn't even really wanna go
But if you get me out, you get a show
There's so many bodies on the floor
So baby we should go and add some more
Are you down, d-d-down, d-d-down, d-d-down, down, down?
Down, d-d-down, d-d-down, d-d-down, down, down?
Everywhere I look are peoples' hands
Thrown up in the air to help them dance
Come on, baby, catch me if you can
I know you don't have any other plans
Are you down, d-d-down, d-d-down, d-d-down, down, down?
Down, d-d-down, d-d-down, d-d-down, down, down?
Are you... down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Are you down, are you down, are you d-d-down?
Down, down, d-d-down, down, d-down, down?
Are you down, are you down, are you d-d-d-d-down, are you Down,
are you down, are you d-d-down, are you?
Down, down, d-d-down, down, d-down, down?
Down, down, down, d-d-d-down?
You know we could put them all to shame
Now isn't the time to play it safe
Isn't this the reason why you came?
So, baby, don't you let it go to waste
Are you down, d-d-down, d-d-down, d-d-down, down, down?
Down, d-d-down, d-d-down, d-d-down, down, down?
Every single thing is feeling right
Started as a quiet Friday night
I don't really think that we should fight this
What if we don't stop until it's light?
Are you down, d-d-down, d-d-down, d-d-down, down, down?
Are you down, d-d-down, d-d-down, d-d-down, down, down?
Are you... down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Are you down, are you down, are you d-d-d-d-down, are you Down,
are you down, are you d-d-down, are you?
Down, down, d-d-down, down, d-down, down?
Down, down, down, d-d-d-down?
Are you, are you, are you d-d-down, down?
Are you, are you... down...are you?
Down, down, d-d-down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Down, down, d-d-down, down, d-down, down?
Are you down, are you down, are you d-d-d-d-down, are you Down,
are you down, are you d-d-down, are you?
Down, down, d-d-down, down, d-down, down?
Down, down, down, d-d-d-down?
Are you down, are you down, are you d-d-d-d-down, are you Down,
are you down, are you d-d-down, are you?
Down, down, d-d-down, down, d-down, down?
",False
"Cheat Codes, Demi Lovato",No Promises,91,31-Mar-17," Dance , Pop  ","Lauv, Emma Block, Jackson Foote, Demi Lovato & Cheat Codes","No Promises
Cutting me up like a knife
And I feel it, deep in my bones
Kicking a habit I love even harder
You oughta know
I just wanna dive in the water, with you
Baby, we can't see the bottom
It's so easy to fall for each other
I'm just hoping we catch one another
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Baby, I think about you
And I feel it, deep in my heart
Maybe we just ain't meant to be something
Maybe we are, ooh?
I just wanna dive in the water, with you
Baby, we can't see the bottom
It's so easy to fall for each other
I'm just hoping we catch one another
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises, oh
I just wanna dive in the water
Oh baby, we can't see the bottom
I just want to dive in with you
I just want to lie here with you, oh
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises promise me
Oh na na, just be careful, na na
Love ain't simple, na na
Promise me no promises, no
Promise me no promises
Don't you promise me nothing
Promise me, me, me, me
Just be careful
Promise me no promises
",False
Shawn Mendes,Treat You Better,92,3-Jun-16,"  Canada , Pop  ","Scott Harris, Teddy Geiger & Shawn Mendes","Treat You Better
I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop
I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
I'll stop time for you
The second you say you'd like me to
I just wanna give you the loving that you're missing
Baby, just to wake up with you
Would be everything I need and this could be so different
Tell me what you want to do
'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down
'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can
",False
"Gucci Mane, Migos",I Get The Bag,93,18-Aug-17," Quality Control Music , Atlantic Records , Atlanta , Trap , Rap  ","Metro Boomin, Southside, Quavo, Takeoff & Gucci Mane","I Get the Bag
Southside
Hah, it's Gucci
It's Drop Top, Wizop, ooh
If Young Metro don't trust you yeah
I'm gon' shoot ya ayy
You get the bag and fumble it
I get the bag and flip it and tumble it yeah
Straight out the lot, 300 cash cash
And the car came with a blunt in it yeah
Lil mama a thot, and she got ass thot
Then she gon' fuck up a bag yeah
Pull up to the spot, livin' too fast yeah
Droppin' the dope in the stash yah
In Italy, got two foreign hoes, they DM me ooh, brr, ayy
Drop the top when it's cold drop top
But you feel the heat skrrt, yah, ayy
Be real with me
Keep it 100, just be real with me ayy
Eat it up like it's a feast whoa, eat it up
They say the dope on fleek yep
Percocet pill on me Percocet
Ice on my neck, baby, chill with me ice
Them niggas that flex in the back don't say nothin'
Them niggas will kill for me
Back ends I count in my sleep, on fleek
100k spent on a Patek Phillippe Phillippe
Bitch, I'm a dog, eat my treat hrr
Hop out the frog and leap leap
I put them bricks in the fender
My bitch, she walk around like she Kris Jenner Kris Jenner
I used to break in and enter
Then Takeoff runnin' like the game of temple whew
It's simple, I play with her mental
Momma said she saw me on Jimmy Kimmel mama
Count it up, 'cause I'm a money symbol
Walkin' with the racks, I'm lookin' crippled money
Fuck on that bitch then I tip her tip her
A nickel for me to take pictures nickel
Not from L.A. but I clip her brr
Double my cup, pour a triple Actavis
Fox on my body, no Vivica fox on my...
I'm not your average or typical I'm not your...
Look at my wrist, and it's critical look at the...
Hold it up, droppin' the temperature droppin' the...
I get that bag on the regular bag
I got a bag on my cellular brr
Backin' up, baggin' up vegetables bag
Bag of them cookies, it's medical cookies
Cocaine, codeine, etcetera white
Cocaine and lean, it's federal white
I take off, landin' on Nebula
As of now 20 M's on my schedule Takeoff
You get the bag and fumble it
I get the bag and flip it and tumble it yeah
Straight out the lot, 300 cash cash
And the car came with a blunt in it yeah
Lil mama a thot, and she got ass thot
And she gon' fuck up her back yeah
Pull up to the spot, livin' too fast yeah
Droppin' the dope in the stash yah
In Italy, got two foreign hoes, they DM me ooh, brr, ayy
Drop the top when it's cold drop top
But you feel the heat skrrt, yah, ayy
Be real with me
Keep it 100, just be real with me it's Gucci, ayy
Eat it up like it's a feast hah, whoa, eat it up
They say the dope on fleek yep
I know that you niggas gettin' sick of me eww-ah
These chains on my neck cost a mil' a piece umm
I don't even like to freestyle for free
I put in the key and I ride the beat
I won't even come out the house for free
I pay a nigga to drive for me huh?
JAY-Z couldn't even co-sign for me
I do what I want, 'cause I'm signed to me damn
I get the, I get the, I get the bag
They get the bag, have to cut it in half Wop
Stop the comparin', y'all makin' me laugh
Need the rehab, I'm addicted to cash
Convertible Wop, convertible top
My dope got a vertical, look at it hop
Skrrt, skrrt, skrrt, and it jump out the pot pot
Came out of jail and went straight to the top
Take it easy, baby, middle of summer, I'm freezin', baby burr
Don't leave me, baby
Just drop to your knees and please me, baby go
I'm fascinated, two bitches so fine that I masturbated hah
Congratulations, she brain me so good that I graduated wow
They had to hate it
I don't fuck with them niggas, they plastic, baby heh
A trapper, baby, I rap but I own all my masters, baby
It's tragic, baby, I pull up and fuck up the traffic, baby hah
A savage, baby
I'm killin' these niggas, closed casket, baby ayy, Wop
You get the bag and fumble it
I get the bag and flip it and tumble it yeah
Straight out the lot, 300 cash cash
And the car came with a blunt in it yeah
Lil mama a thot, and she got ass thot
And she gon' fuck up her back yeah
Pull up to the spot, livin' too fast yeah
Droppin' the dope in the stash yah
In Italy, got two foreign hoes, they DM me ooh, brr, ayy
Drop the top when it's cold drop top
But you feel the heat skrrt, yah, ayy
Be real with me
Keep it 100, just be real with me ayy
Eat it up like it's a feast whoa, eat it up
They say the dope on fleek yep
",True
Dustin Lynch,Small Town Boy,94,17-Feb-17, Country  ,"Ben Hayslip, Kyle Fishman & Rhett Akins","Small Town Boy
I'm a dirt road in the headlights
I'm a mama's boy, I'm a fist fight
Kinda county line, kinda cold beer
Little hat down, little John Deere
I kinda give a damn
I kinda don't care
You see that girl standing right there
She loves a small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'm turning it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She likes my T-shirt
She likes my old boots
Likes to slow dance to some old school
She'll take a full moon over those city nights
And I ain't scared to get all up in them bright lights
Yeah, I can smooth it out
I can stick it up
I guess that's why she can't get enough of
A small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'm turning it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She loves a small town boy like me, yeah
Yeah, I'm her sure thing
I'm her go to
I'm her rockstar
She ain't gon' ever lose a-
Small town boy like me
I'm her ride or die baby
I'm her cool, I'm her crazy
I'm her laid back in the front seat
I'm so with you till the end girl
Let's turn it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'll turn it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She loves a small town boy like me
Yeah, she loves a small town boy like me
",False
